                  epoch,             train/loss,         train/accuracy,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 4.1454,                0.20766,                 3.2284,                 0.4085,                0.61438,               0.000901
                      1,                 2.1416,                0.83537,                 2.0709,                0.64052,                0.84641,               0.000802
                      2,                 1.1611,                0.96869,                 1.9902,                0.66013,                 0.9085,               0.000703
                      3,                0.97151,                0.99597,                 1.7479,                0.73856,                0.94118,               0.000604
                      4,                0.91856,                      1,                 1.7141,                0.74183,                0.93791,               0.000505
                      5,                0.88098,                      1,                 1.6493,                0.78105,                0.95098,               0.000406
                      6,                0.85946,                      1,                 1.6703,                0.81373,                0.95425,               0.000307
                      7,                 0.8425,                      1,                 1.6996,                0.81699,                0.95425,               0.000208
                      8,                0.83455,                      1,                  1.716,                0.82353,                0.95425,               0.000109
                      9,                0.83106,                      1,                 1.7821,                0.82353,                0.95752,                  1e-05
